구분,총인구수,연령구간인구수,65-69세,70-74세,75-79세,80-84세,85-89세,90-94세,95-99세,100세이상
천안시,657417,81625,29564,19063,13223,11000,6140,2110,447,78
공주시,102480,29677,9139,6749,4765,4788,2903,1109,187,37
보령시,96819,27924,8450,6557,4837,4397,2593,869,192,29
아산시,336748,47401,15825,10955,8056,6941,3971,1372,239,42
서산시,176189,35563,10625,8316,5919,5551,3513,1340,256,43
논산시,112161,32746,9888,7198,5499,5354,3344,1178,249,36
계룡시,44523,6051,2300,1408,926,747,467,159,36,8
당진시,168472,34140,10344,7829,5654,5512,3411,1130,219,41
금산군,50206,17189,5096,3737,2943,3046,1667,575,104,21
부여군,62019,23702,6680,5159,3942,4125,2623,945,204,24
서천군,49808,19674,5206,4333,3490,3420,2212,838,155,20
청양군,30127,11552,3125,2468,1883,2045,1441,498,84,8
홍성군,97512,25362,7352,5757,4196,4223,2715,908,181,30
예산군,78127,26168,7520,5861,4405,4487,2797,893,173,32
태안군,61017,21079,6119,5065,3930,3237,1863,701,143,21
