시구군명 ,폭염 취약계층(명)_계,폭염 취약계층(명)_독거노인 ,폭염 취약계층(명)_거동불편자 ,폭염 취약계층(명)_기타 ,재난도우미(명)_계,재난도우미(명)_건강보건전문인력,재난도우미(명)_노인돌보미,재난도우미(명)_사회복지사,재난도우미(명)_이?통장,재난도우미(명)_공무원,재난도우미(명)_지역자율방재단,재난도우미(명)_기타,재난도우미확보기준(명)(ⓐ×10%),
계,152897.3,76702.4,46622.7,45885.2,18156.7,4506,431,1819,3310.2,974,4635,4512.2,15289,118
천안시,63720,23760,18805,21155,13717,221,19,790,1181,391,913,10202,6372,2637
공주시,4757,3200,0,1557,1134,446,0,13,252,16,161,246,476,2.38
보령시,18656,9544,8574,538,5113,2472,0,0,0,161,480,2000,1866,274
아산시,28163,14999,0,13164,189,175,0,13,0,1,0,0,2813.6,6.7
서산시,9362,3463,0,5899,2884,135,6,440,0,145,225,1933,936.2,308
논산시,3221,2716,505,0,1890,135,49,350,495,20,518,323,322.1,586
계룡시,2025,355,1670,-,244,26,3,4,97,8,106,0,202,120
당진시,8840,1767,3495,3557,1144,126,32,8,286,32,360,0,884,1.29
금산군,8364,1442,4732,2190,97,89,0,6,0,2,0,0,836.4,11.5
부여군,19193,8060,6778,4355,1348,204,42,14,437,52,599,0,1919.3,70
서천군,6496,2180,1823,2493,681,140,23,11,316,13,177,0,649.6,104
청양군,8711,4011,3265,1435,531,88,4,2,183,45,209,0,871.1,61
홍성군,9790,7242,2548,0,924,24,216,31,352,11,290,0,979,94.3
예산군,9702,10515,7944,7042,995,144,32,127,315,43,334,0,970,102
태안군,15584,7207,5278,3634,969,81,5,10,576,34,263,0,1558,62
