"계절별","기간별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"합계","금년",282,277,197,296,492,623,391,692,496,653,620,349,756,596
"합계","10년평균",478.0,427.0,387.0,389.0,384.0,395.0,394.0,421.0,432.0,440.0,474.0,481.0,537.0,566.8
"봄(3~5월)","금년",118,180,122,212,322,377,223,418,174,392,381,158,377,370
"봄(3~5월)","10년평균",296.0,251.0,224.0,225.0,230.0,235.0,232.0,254.0,253.0,254.0,280.1,277.9,303.4,319.2
"여름(6~8월)","금년",21,9,38,13,24,100,43,89,106,34,39,16,29,12
"여름(6~8월)","10년평균",17.0,15.0,16.0,17.0,15.0,24.0,29.0,36.0,46.0,48.0,49.5,50.2,49.3,49.2
"가을(9~11월)","금년",49,11,20,23,39,82,15,58,25,30,83,25,82,40
"가을(9~11월)","10년평균",45.0,41.0,40.0,40.0,40.0,44.0,40.0,44.0,38.0,35.0,38.6,40.0,46.2,47.9
"겨울(12~2월)","금년",94,77,17,48,107,64,110,127,191,197,117,150,268,174
"겨울(12~2월)","10년평균",120.0,120.0,107.0,107.0,100.0,92.0,93.0,87.0,95.0,103.0,105.5,112.8,137.9,150.5
