"기간별","요일별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"금년","합계",282,277,197,296,492,623,391,692,496,653,620,349,756,596
"금년","월",41,26,22,38,67,80,50,80,79,75,69,37,97,88
"금년","화",25,31,27,48,92,81,45,72,66,91,77,48,101,87
"금년","수",32,44,21,42,73,69,52,74,45,99,80,50,77,71
"금년","목",25,44,23,33,46,69,57,100,61,82,95,41,100,78
"금년","금",51,47,18,32,58,69,62,89,52,73,75,57,96,70
"금년","토",35,46,20,63,50,101,54,137,75,116,96,38,128,76
"금년","일",68,25,50,35,92,120,47,113,79,91,102,63,136,112
"금년","공휴일",5,14,16,5,14,34,24,27,39,26,26,15,21,14
"10년평균","합계",478,427,387,389,384,395,394,421,432,440,474,481,537,567
"10년평균","월",59,52,45,46,47,48,49,52,55,56,59,61,69,74
"10년평균","화",56,48,45,47,48,50,50,52,54,58,63,65,72,76
"10년평균","수",62,56,50,49,49,49,51,52,51,55,60,60,66,69
"10년평균","목",54,48,45,45,42,44,45,51,53,54,61,61,68,73
"10년평균","금",62,55,52,53,50,51,51,54,55,55,58,59,66,70
"10년평균","토",67,64,59,63,61,63,62,69,70,70,76,75,86,87
"10년평균","일",90,79,74,72,69,73,69,73,73,72,75,78,87,94
"10년평균","공휴일",28,25,17,14,18,17,17,18,21,21,23,23,23,24
