행정구역별,2015년 귀농가구원수 (명),2015년 귀농인수 (명),2015년 동반가구원수 (명),2016년 귀농가구원수 (명),2016년 귀농인수 (명),2016년 동반가구원수 (명),2017년 귀농가구원수 (명),2017년 귀농인수 (명),2017년 동반가구원수 (명),2018년 귀농가구원수 (명),2018년 귀농인수 (명),2018년 동반가구원수 (명),2019년 귀농가구원수 (명),2019년 귀농인수(명),2019년 동반가구원수(명),2020년 귀농가구원수 (명),2020년 귀농인수 (명),2020년 동반가구원수 (명),2021년 귀농가구원수 (명),2021년 귀농인수 (명),2021년 동반가구원수 (명),2022년 귀농가구원수 (명),2022년 귀농인수 (명),2022년 동반가구원수 (명)
　　　천안시,115,68,47,125,80,45,90,49,41,83,61,22,84,61,23,106,72,34,135,98,37,120,92,28
　　　공주시,167,108,59,147,95,52,143,106,37,144,104,40,135,96,39,120,91,29,183,143,40,136,116,20
　　　보령시,181,109,72,148,97,51,117,85,32,139,94,45,115,80,35,131,96,35,165,120,45,263,111,41
　　　아산시,120,70,50,131,74,57,119,85,34,121,81,40,130,87,43,142,86,56,195,116,79,210,124,86
　　　서산시,194,116,78,179,103,76,150,105,45,151,96,55,129,96,33,159,115,44,202,144,58,185,127,58
　　　논산시,171,110,61,222,143,79,225,149,76,168,112,56,173,123,50,206,144,62,199,147,52,146,119,27
　　　계룡시,30,15,15,28,13,15,28,15,13,17,8,9,12,6,6,24,12,12,33,20,13,21,12,9
　　　당진시,139,90,49,151,104,47,150,93,57,120,91,29,108,77,31,161,106,55,214,142,72,176,121,55
　　　금산군,183,121,62,149,99,50,154,98,56,138,99,39,102,80,22,173,131,42,146,117,29,137,116,21
　　　부여군,176,115,61,219,142,77,178,122,56,184,124,60,160,121,39,182,141,41,198,152,46,189,141,48
　　　서천군,107,69,38,114,69,45,114,74,40,81,57,24,80,61,19,94,80,14,124,89,35,127,96,31
　　　청양군,156,101,55,170,121,49,215,132,83,183,130,53,140,104,36,129,104,25,150,113,37,123,94,29
　　　홍성군,129,84,45,181,109,72,154,96,58,139,91,48,133,90,43,111,80,31,200,139,61,123,88,35
　　　예산군,141,90,51,142,89,53,119,89,30,108,82,26,106,87,19,121,104,17,150,115,35,127,103,24
　　　태안군,197,124,73,147,100,47,155,107,48,145,98,47,132,99,33,193,140,53,216,166,50,167,135,32
